Unnamed: 0,ID,Name,Sex,Age,NOC,Team,Sport,Event,Medal,Year,Season,Height,Weight,Games,City,region,notes
1100,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's Vault,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
1101,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's Parallel Bars,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
1102,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's Horizontal Bar,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
1103,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's Team,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
1104,1324477,BAUMGART-WITAN Iga,Female,32.0,POL,Poland,Athletics,Women's 4 x 400m Relay Team,Silver,2020,Summer,,,2020 Summer,Tokyo,Poland,
1105,1324477,BAUMGART-WITAN Iga,Female,32.0,POL,Poland,Athletics,4 x 400m Relay Mixed Team,Gold,2020,Summer,,,2020 Summer,Tokyo,Poland,
1106,1444375,BAUTISTA Jose,Male,40.0,DOM,Dominican Republic,Baseball/Softball,Baseball Team,Bronze,2020,Summer,,,2020 Summer,Tokyo,Dominican Republic,
1107,1285004,BAYARTSOGT Munkhzaya,Female,27.0,MGL,Mongolia,Athletics,Women's Marathon,,2020,Summer,,,2020 Summer,Tokyo,Mongolia,
1108,1345274,BAYASGALAN Solongo,Female,31.0,MGL,Mongolia,3x3 Basketball,Women Team,,2020,Summer,,,2020 Summer,Tokyo,Mongolia,
1109,1326474,BAYNES Aron,Male,34.0,AUS,Australia,Basketball,Men Team,Bronze,2020,Summer,,,2020 Summer,Tokyo,Australia,
1110,1437011,BAYRAMOV Turan,Male,20.0,AZE,Azerbaijan,Wrestling,Men's Freestyle 74kg,,2020,Summer,,,2020 Summer,Tokyo,Azerbaijan,
1111,1889000,BAZ Shane,Male,22.0,USA,United States,Baseball/Softball,Baseball Team,Silver,2020,Summer,,,2020 Summer,Tokyo,USA,
1112,1293645,BAZADZE Sandro,Male,28.0,GEO,Georgia,Fencing,Men's Sabre Individual,,2020,Summer,,,2020 Summer,Tokyo,Georgia,
1113,1362707,BAZAN VELEZ Lautaro,Male,25.0,ARG,Argentina,Rugby Sevens,Men Team,Bronze,2020,Summer,,,2020 Summer,Tokyo,Argentina,
1114,1431740,BAZARZHAPOV Galsan,Male,26.0,ROC,Russia,Archery,Men's Individual,,2020,Summer,,,2020 Summer,Tokyo,Russia,
1115,1431740,BAZARZHAPOV Galsan,Male,26.0,ROC,Russia,Archery,Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Russia,
1116,1314885,BAZO GERMAN Maria Belen,Female,23.0,PER,Peru,Sailing,Women's Windsurfer - RS:X,,2020,Summer,,,2020 Summer,Tokyo,Peru,
1117,1450251,BAZOLO Lorene Dorcas,Female,38.0,POR,Portugal,Athletics,Women's 100m,,2020,Summer,,,2020 Summer,Tokyo,Portugal,
1118,1450251,BAZOLO Lorene Dorcas,Female,38.0,POR,Portugal,Athletics,Women's 200m,,2020,Summer,,,2020 Summer,Tokyo,Portugal,
1119,1483097,BEALE Daniel James,Male,28.0,AUS,Australia,Hockey,Men Team,Silver,2020,Summer,,,2020 Summer,Tokyo,Australia,
1120,1351477,BEATRIZ,Female,27.0,BRA,Brazil,Football,Women Team,,2020,Summer,,,2020 Summer,Tokyo,Brazil,
1121,1433439,BEAUCHEMIN-PINARD Catherine,Female,27.0,CAN,Canada,Judo,Women -63 kg,Bronze,2020,Summer,,,2020 Summer,Tokyo,Canada,
1122,1318619,BEAUGRAND Cassandre,Female,24.0,FRA,France,Triathlon,Women's Individual,,2020,Summer,,,2020 Summer,Tokyo,France,
1123,1318619,BEAUGRAND Cassandre,Female,24.0,FRA,France,Triathlon,Mixed Relay Team,Bronze,2020,Summer,,,2020 Summer,Tokyo,France,
1124,1444663,BEAUMONT Jack,Male,27.0,GBR,Great Britain,Rowing,Men's Quadruple Sculls Team,Silver,2020,Summer,,,2020 Summer,Tokyo,UK,
1125,1402516,BEAUMONT Maxime,Male,39.0,FRA,France,Canoe Sprint,Men's Kayak Single 200m,,2020,Summer,,,2020 Summer,Tokyo,France,
1126,1347271,BEBENDORF Karl,Male,25.0,GER,Germany,Athletics,Men's 3000m Steeplechase,,2020,Summer,,,2020 Summer,Tokyo,Germany,
1127,1321763,BECCARO Luca,Male,24.0,ITA,Italy,Canoe Sprint,Men's Kayak Double 1000m Team,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1128,1355252,BECHDEJU Laura,Female,21.0,ESP,Spain,Artistic Gymnastics,Women's All-Around,,2020,Summer,,,2020 Summer,Tokyo,Spain,
1129,1355252,BECHDEJU Laura,Female,21.0,ESP,Spain,Artistic Gymnastics,Women's Vault,,2020,Summer,,,2020 Summer,Tokyo,Spain,
1130,1355252,BECHDEJU Laura,Female,21.0,ESP,Spain,Artistic Gymnastics,Women's Uneven Bars,,2020,Summer,,,2020 Summer,Tokyo,Spain,
1131,1355252,BECHDEJU Laura,Female,21.0,ESP,Spain,Artistic Gymnastics,Women's Balance Beam,,2020,Summer,,,2020 Summer,Tokyo,Spain,
1132,1355252,BECHDEJU Laura,Female,21.0,ESP,Spain,Artistic Gymnastics,Women's Floor Exercise,,2020,Summer,,,2020 Summer,Tokyo,Spain,
1133,1355252,BECHDEJU Laura,Female,21.0,ESP,Spain,Artistic Gymnastics,Women's Team,,2020,Summer,,,2020 Summer,Tokyo,Spain,
