Medal,Event,ID,Sport,Name,Sex,NOC,Team,Height,Weight,Age,City,Year,Season,notes,Games,region
,,1536701,,TAFTIAN Hassan,Male,IRI,Iran,182.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536721,,PANWAR Balraj,Male,IND,India,0.0,0.0,,Paris,2024,Summer,,2024 Summer,India
Silver,Women's Triple Jump,1536885,Athletics,RICKETTS Shanieka,Female,JAM,Jamaica,188.0,0.0,32.0,Paris,2024,Summer,,2024 Summer,Jamaica
,,1536925,,HARRIS Naquille,Male,SKN,St Kitts and Nevis,175.0,0.0,,Paris,2024,Summer,,2024 Summer,Saint Kitts
,,1536961,,DAVOUDI Ali,Male,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536971,,JAVADI ALIABADI Mir Mostafa,Male,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536983,,WELTEJI Diribe,Female,ETH,Ethiopia,166.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536990,,HAYLOM Birke,Female,ETH,Ethiopia,164.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536992,,HAILU Freweyni,Female,ETH,Ethiopia,166.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536996,,AGHAMIRZAEIJENAGHARD Ali,Male,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536997,,MAYALA Freddy,Male,CGO,Republic of Congo,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Republic of Congo
Silver,"Men's 10,000m",1536998,Athletics,AREGAWI Berihu,Male,ETH,Ethiopia,171.0,0.0,23.0,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536999,,KEJELCHA Yomif,Male,ETH,Ethiopia,185.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537001,,GEBRHIWET Hagos,Male,ETH,Ethiopia,173.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537002,,BOBIMBO Vanessa,Female,CGO,Republic of Congo,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Republic of Congo
,,1537010,,NGOYE Natacha,Female,CGO,Republic of Congo,168.0,0.0,,Paris,2024,Summer,,2024 Summer,Republic of Congo
,,1537012,,SAIKHOM Mirabai Chanu,Female,IND,India,0.0,0.0,,Paris,2024,Summer,,2024 Summer,India
,,1537049,,BAREGA Selemon,Male,ETH,Ethiopia,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537052,,TEFERA Samuel,Male,ETH,Ethiopia,175.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537053,,YIHUNE Addisu,Male,ETH,Ethiopia,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537057,,MEHARY Biniam,Male,ETH,Ethiopia,177.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537066,,TAYE Ejgayehu,Female,ETH,Ethiopia,165.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537069,,EISA Medina,Female,ETH,Ethiopia,162.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537079,,GEBRESELAMA Tsigie,Female,ETH,Ethiopia,167.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1537135,,ZENG Jian,Female,SGP,Singapore,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1537137,,QUEK Izaac,Male,SGP,Singapore,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1537144,,VEGA Jerome,Male,PUR,Puerto Rico,178.0,0.0,,Paris,2024,Summer,,2024 Summer,Puerto Rico
,,1537145,,OWENS-DELERME Ayden,Male,PUR,Puerto Rico,184.0,0.0,,Paris,2024,Summer,,2024 Summer,Puerto Rico
,,1537149,,de ORBETA Rachelle,Female,PUR,Puerto Rico,154.0,0.0,,Paris,2024,Summer,,2024 Summer,Puerto Rico
,,1537150,,SCOTT Gabby,Female,PUR,Puerto Rico,165.0,0.0,,Paris,2024,Summer,,2024 Summer,Puerto Rico
,,1537163,,D'AMOUR Nicholas,Male,ISV,"Virgin Islands, US",0.0,0.0,,Paris,2024,Summer,,2024 Summer,"Virgin Islands, US"
,,1537168,,CASTRO RIVERA Luis,Male,PUR,Puerto Rico,198.0,0.0,,Paris,2024,Summer,,2024 Summer,Puerto Rico
,,1537180,,CEBALLOS Macarena,Female,ARG,Argentina,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Argentina
Bronze,Women's 100m Hurdles,1537183,Athletics,CAMACHO-QUINN Jasmine,Female,PUR,Puerto Rico,160.0,0.0,28.0,Paris,2024,Summer,,2024 Summer,Puerto Rico
,,1537185,,CHEVRIER Luc,Male,LCA,Saint Lucia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Saint Lucia
